category,fact
Chemistry,Hassium is element number 108 in the periodic table.
Chemistry,Helium has atomic number 2 in the periodic table.
Chemistry,Helium is element number 2 in the periodic table.
Chemistry,Helium is the second most abundant element in the universe.
Chemistry,Holmium has atomic number 67 in the periodic table.
Chemistry,Holmium is element number 67 in the periodic table.
Chemistry,Hydrogen has atomic number 1 in the periodic table.
Chemistry,Hydrogen is element number 1 in the periodic table.
Chemistry,Hydrogen is the lightest element in the periodic table.
Chemistry,Indium has atomic number 49 in the periodic table.
Chemistry,Indium is element number 49 in the periodic table.
Chemistry,Iodine has atomic number 53 in the periodic table.
Chemistry,Iodine is element number 53 in the periodic table.
Chemistry,Iridium has atomic number 77 in the periodic table.
Chemistry,Iridium is element number 77 in the periodic table.
Chemistry,Iron has atomic number 26 in the periodic table.
Chemistry,Iron is element number 26 in the periodic table.
Chemistry,Krypton has atomic number 36 in the periodic table.
Chemistry,Krypton is element number 36 in the periodic table.
Chemistry,Lanthanum has atomic number 57 in the periodic table.
Chemistry,Lanthanum is element number 57 in the periodic table.
Chemistry,Lawrencium has atomic number 103 in the periodic table.
Chemistry,Lawrencium is element number 103 in the periodic table.
Chemistry,Lead has atomic number 82 in the periodic table.
Chemistry,Lead is element number 82 in the periodic table.
Chemistry,Lithium has atomic number 3 in the periodic table.
Chemistry,Lithium is element number 3 in the periodic table.
Chemistry,Livermorium has atomic number 116 in the periodic table.
Chemistry,Livermorium is element number 116 in the periodic table.
Chemistry,Lutetium has atomic number 71 in the periodic table.
Chemistry,Lutetium is element number 71 in the periodic table.
Chemistry,Magnesium has atomic number 12 in the periodic table.
Chemistry,Magnesium is element number 12 in the periodic table.
Chemistry,Manganese has atomic number 25 in the periodic table.
Chemistry,Manganese is element number 25 in the periodic table.
Chemistry,Meitnerium has atomic number 109 in the periodic table.
Chemistry,Meitnerium is element number 109 in the periodic table.
Chemistry,Mendelevium has atomic number 101 in the periodic table.
Chemistry,Mendelevium is element number 101 in the periodic table.
Chemistry,Mercury has atomic number 80 in the periodic table.
Chemistry,Mercury is element number 80 in the periodic table.
Chemistry,Molybdenum has atomic number 42 in the periodic table.
Chemistry,Molybdenum is element number 42 in the periodic table.
Chemistry,Moscovium has atomic number 115 in the periodic table.
Chemistry,Moscovium is element number 115 in the periodic table.
Chemistry,Neodymium has atomic number 60 in the periodic table.
Chemistry,Neodymium is element number 60 in the periodic table.
Chemistry,Neon has atomic number 10 in the periodic table.
Chemistry,Neon is element number 10 in the periodic table.
Chemistry,Neptunium has atomic number 93 in the periodic table.
Chemistry,Neptunium is element number 93 in the periodic table.
Chemistry,Nickel has atomic number 28 in the periodic table.
Chemistry,Nickel is element number 28 in the periodic table.
Chemistry,Nihonium has atomic number 113 in the periodic table.
Chemistry,Nihonium is element number 113 in the periodic table.
Chemistry,Niobium has atomic number 41 in the periodic table.
Chemistry,Niobium is element number 41 in the periodic table.
Chemistry,Nitrogen has atomic number 7 in the periodic table.
Chemistry,Nitrogen is element number 7 in the periodic table.
Chemistry,Nobelium has atomic number 102 in the periodic table.
Chemistry,Nobelium is element number 102 in the periodic table.
Chemistry,Oganesson has atomic number 118 in the periodic table.
Chemistry,Oganesson is element number 118 in the periodic table.
Chemistry,Osmium has atomic number 76 in the periodic table.
Chemistry,Osmium is element number 76 in the periodic table.
Chemistry,Oxygen has atomic number 8 in the periodic table.
Chemistry,Oxygen is element number 8 in the periodic table.
Chemistry,Oxygen is essential for cellular respiration in most complex life.
Chemistry,Palladium has atomic number 46 in the periodic table.
Chemistry,Palladium is element number 46 in the periodic table.
Chemistry,pH is a measure of the acidity or alkalinity of a solution.
Chemistry,Phosphorus has atomic number 15 in the periodic table.
Chemistry,Phosphorus is element number 15 in the periodic table.
Chemistry,Platinum has atomic number 78 in the periodic table.
Chemistry,Platinum is element number 78 in the periodic table.
Chemistry,Plutonium has atomic number 94 in the periodic table.
Chemistry,Plutonium is element number 94 in the periodic table.
Chemistry,Polonium has atomic number 84 in the periodic table.
Chemistry,Polonium is element number 84 in the periodic table.
Chemistry,Potassium has atomic number 19 in the periodic table.
Chemistry,Potassium is element number 19 in the periodic table.
Chemistry,Praseodymium has atomic number 59 in the periodic table.
Chemistry,Praseodymium is element number 59 in the periodic table.
Chemistry,Promethium has atomic number 61 in the periodic table.
Chemistry,Promethium is element number 61 in the periodic table.
Chemistry,Protactinium has atomic number 91 in the periodic table.
Chemistry,Protactinium is element number 91 in the periodic table.
Chemistry,Radium has atomic number 88 in the periodic table.
Chemistry,Radium is element number 88 in the periodic table.
Chemistry,Radon has atomic number 86 in the periodic table.
Chemistry,Radon is element number 86 in the periodic table.
Chemistry,Rhenium has atomic number 75 in the periodic table.
Chemistry,Rhenium is element number 75 in the periodic table.
Chemistry,Rhodium has atomic number 45 in the periodic table.
Chemistry,Rhodium is element number 45 in the periodic table.
Chemistry,Roentgenium has atomic number 111 in the periodic table.
Chemistry,Roentgenium is element number 111 in the periodic table.
Chemistry,Rubidium has atomic number 37 in the periodic table.
Chemistry,Rubidium is element number 37 in the periodic table.
Chemistry,Ruthenium has atomic number 44 in the periodic table.
Chemistry,Ruthenium is element number 44 in the periodic table.
Chemistry,Rutherfordium has atomic number 104 in the periodic table.
Chemistry,Rutherfordium is element number 104 in the periodic table.
Chemistry,Samarium has atomic number 62 in the periodic table.
Chemistry,Samarium is element number 62 in the periodic table.
Chemistry,Scandium has atomic number 21 in the periodic table.
Chemistry,Scandium is element number 21 in the periodic table.
Chemistry,Seaborgium has atomic number 106 in the periodic table.
Chemistry,Seaborgium is element number 106 in the periodic table.
Chemistry,Selenium has atomic number 34 in the periodic table.
Chemistry,Selenium is element number 34 in the periodic table.
Chemistry,Silicon has atomic number 14 in the periodic table.
Chemistry,Silicon is element number 14 in the periodic table.
Chemistry,Silver has atomic number 47 in the periodic table.
Chemistry,Silver is element number 47 in the periodic table.
Chemistry,Sodium has atomic number 11 in the periodic table.
Chemistry,Sodium is element number 11 in the periodic table.
Chemistry,Sodium reacts violently with water to produce hydrogen gas and heat.
Chemistry,Some metals react violently when they come into contact with water.
Chemistry,Strontium has atomic number 38 in the periodic table.
Chemistry,Strontium is element number 38 in the periodic table.
Chemistry,Sulfur has atomic number 16 in the periodic table.
Chemistry,Sulfur is element number 16 in the periodic table.
Chemistry,Table salt is a compound made of sodium and chlorine ions.
Chemistry,Table salt is a compound made of sodium and chlorine.
Chemistry,Tantalum has atomic number 73 in the periodic table.
Chemistry,Tantalum is element number 73 in the periodic table.
Chemistry,Technetium has atomic number 43 in the periodic table.
Chemistry,Technetium is element number 43 in the periodic table.
Chemistry,Tellurium has atomic number 52 in the periodic table.
Chemistry,Tellurium is element number 52 in the periodic table.
Chemistry,Tennessine has atomic number 117 in the periodic table.
Chemistry,Tennessine is element number 117 in the periodic table.
Chemistry,Terbium has atomic number 65 in the periodic table.
Chemistry,Terbium is element number 65 in the periodic table.
Chemistry,Thallium has atomic number 81 in the periodic table.
Chemistry,Thallium is element number 81 in the periodic table.
Chemistry,The periodic table currently contains 118 confirmed elements.
Chemistry,Thorium has atomic number 90 in the periodic table.
Chemistry,Thorium is element number 90 in the periodic table.
Chemistry,Thulium has atomic number 69 in the periodic table.
Chemistry,Thulium is element number 69 in the periodic table.
Chemistry,Tin has atomic number 50 in the periodic table.
Chemistry,Tin is element number 50 in the periodic table.
Chemistry,Titanium has atomic number 22 in the periodic table.
Chemistry,Titanium is element number 22 in the periodic table.
Chemistry,Tungsten has atomic number 74 in the periodic table.
Chemistry,Tungsten is element number 74 in the periodic table.
Chemistry,Uranium has atomic number 92 in the periodic table.
Chemistry,Uranium is element number 92 in the periodic table.
Chemistry,Vanadium has atomic number 23 in the periodic table.
Chemistry,Vanadium is element number 23 in the periodic table.
Chemistry,Water molecules consist of two hydrogen atoms bonded to one oxygen atom.
Chemistry,Xenon has atomic number 54 in the periodic table.
Chemistry,Xenon is element number 54 in the periodic table.
Chemistry,Ytterbium has atomic number 70 in the periodic table.
Chemistry,Ytterbium is element number 70 in the periodic table.
Chemistry,Yttrium has atomic number 39 in the periodic table.
Chemistry,Yttrium is element number 39 in the periodic table.
Chemistry,Zinc has atomic number 30 in the periodic table.
Chemistry,Zinc is element number 30 in the periodic table.
Chemistry,Zirconium has atomic number 40 in the periodic table.
Chemistry,Zirconium is element number 40 in the periodic table.
Climate,Greenhouse gases trap heat in Earth’s atmosphere.
Climate,Ocean currents help regulate global climate patterns.
Climate,The Sahara was a much greener region during parts of the Holocene.
Computing,Binary code represents data using combinations of 0s and 1s.
Computing,Email predates the modern World Wide Web.
Computing,"Open-source software allows its source code to be inspected, modified, and shared."
Computing,The first programmable electronic computers were developed in the 1940s.
Computing,The term 'bug' in computing became popular long before modern personal computers.
Energy,Nuclear power plants generate electricity from heat produced by fission.
Energy,Solar panels convert sunlight directly into electricity using photovoltaic cells.
Engineering,"Bridges expand and contract with temperature changes, which is why they use expansion joints."
Engineering,Jet engines generate thrust by accelerating exhaust gases backward.
Engineering,The Channel Tunnel runs beneath the English Channel and links the UK with France.
Engineering,The Eiffel Tower can grow taller in summer because metal expands when heated.
Environment,Mangrove forests protect coastlines from erosion and storm surges.
Environment,Peatlands store large amounts of carbon despite covering a small part of Earth’s surface.
Environment,The Amazon rainforest plays a major role in Earth’s carbon and water cycles.
Geography,Africa is the only continent crossed by both the equator and the prime meridian.
Geography,Africa is the second-largest continent by land area.
Geography,Antarctica is the covered largely by ice sheets.
Geography,Antarctica is the largest desert on Earth despite being covered in ice.
Geography,Antarctica is the largest desert on Earth.
Geography,Asia is the largest continent by land area.
Geography,Australia is the smallest continent by land area.
Geography,Canada has the longest coastline of any country.
Geography,Europe is the contains more than 40 countries.
Geography,Greenland is the largest island in the world that is not a continent.
Geography,Lake Baikal is the deepest freshwater lake in the world.
Geography,Lake Baikal is the world’s deepest freshwater lake.
Geography,Mount Everest is the highest mountain above sea level.
Geography,"North America is the contains Canada, the United States, and Mexico."
Geography,Russia spans eleven time zones.
Geography,South America is the home to the Amazon River.
Geography,The Amazon River is one of the largest river systems on Earth.
Geography,The capital city of Argentina is Buenos Aires.
Geography,The capital city of Australia is Canberra.
Geography,The capital city of Austria is Vienna.
Geography,The capital city of Belgium is Brussels.
Geography,The capital city of Brazil is Brasilia.
Geography,The capital city of Canada is Ottawa.
Geography,The capital city of Chile is Santiago.
Geography,The capital city of China is Beijing.
Geography,The capital city of Czech Republic is Prague.
Geography,The capital city of Denmark is Copenhagen.
Geography,The capital city of Egypt is Cairo.
Geography,The capital city of Finland is Helsinki.
Geography,The capital city of France is Paris.
Geography,The capital city of Germany is Berlin.
Geography,The capital city of Greece is Athens.
Geography,The capital city of Hungary is Budapest.
Geography,The capital city of India is New Delhi.
Geography,The capital city of Indonesia is Jakarta.
Geography,The capital city of Ireland is Dublin.
Geography,The capital city of Israel is Jerusalem.
Geography,The capital city of Italy is Rome.
Geography,The capital city of Japan is Tokyo.
Geography,The capital city of Kenya is Nairobi.
Geography,The capital city of Mexico is Mexico City.
Geography,The capital city of Netherlands is Amsterdam.
Geography,The capital city of New Zealand is Wellington.
Geography,The capital city of Nigeria is Abuja.
Geography,The capital city of Norway is Oslo.
Geography,The capital city of Poland is Warsaw.
Geography,The capital city of Portugal is Lisbon.
Geography,The capital city of Saudi Arabia is Riyadh.
Geography,The capital city of South Africa is Pretoria.
Geography,The capital city of South Korea is Seoul.
Geography,The capital city of Spain is Madrid.
Geography,The capital city of Sweden is Stockholm.
Geography,The capital city of Switzerland is Bern.
Geography,The capital city of Thailand is Bangkok.
Geography,The capital city of Turkey is Ankara.
Geography,The capital city of United Kingdom is London.
Geography,The capital city of United States is Washington D.C..
Geography,The capital city of Vietnam is Hanoi.
Geography,The Pacific Ocean is larger than all land on Earth combined.
Geography,The Pacific Ocean is the largest ocean on Earth.
Geography,The Sahara Desert is the largest hot desert on Earth.
Geology,Earth is the only known planet with active plate tectonics.
Geology,Earth’s outer core is liquid while the inner core is solid.
Geology,Most of Earth’s volcanic activity occurs underwater.
Geology,Mount Everest rises by a few millimeters each year.
History,The Great Wall of China is not visible from space with the naked eye.
History,Cleopatra lived closer in time to the Moon landing than to the construction of the Great Pyramid.
History,Ancient Romans used concrete in large-scale construction.
History,Cleopatra lived closer in time to the Moon landing than to the building of the Great Pyramid.
History,Honey never spoils and edible honey has been found in ancient tombs.
History,Oxford University is older than the Aztec Empire.
History,Pompeii was buried by the eruption of Mount Vesuvius in AD 79.
History,The Byzantine Empire continued for nearly a thousand years after the fall of Rome in the West.
History,The first Olympic Games were held in ancient Greece in 776 BC.
History,The Great Pyramid of Giza is one of the oldest surviving wonders of the ancient world.
History,The Industrial Revolution began in Britain in the late 18th century.
History,The Library of Alexandria became a symbol of lost ancient knowledge.
History,The Library of Alexandria was one of the largest libraries of the ancient world.
History,The Magna Carta was signed in England in 1215.
History,The printing press dramatically accelerated the spread of information in Europe.
History,The printing press was popularised in Europe by Johannes Gutenberg in the 15th century.
History,The Roman Empire once controlled territories across Europe North Africa and the Middle East.
History,The Rosetta Stone enabled scholars to decipher Egyptian hieroglyphs.
Linguistics,"English contains many loanwords from French, Latin, and Norse."
Linguistics,The word order of a language can shape how sentences are structured.
Linguistics,There are thousands of distinct languages spoken around the world today.
Linguistics,"Writing systems include alphabets, syllabaries, and logographic systems."
Materials Science,Glass is an amorphous solid rather than a true crystalline solid.
Materials Science,Graphene is a single layer of carbon atoms arranged in a hexagonal lattice.
Materials Science,Stainless steel resists corrosion because it contains chromium.
Mathematics,101 is a prime number.
Mathematics,103 is a prime number.
Mathematics,107 is a prime number.
Mathematics,109 is a prime number.
Mathematics,11 is a prime number.
Mathematics,113 is a prime number.
Mathematics,127 is a prime number.
Mathematics,13 is a prime number.
Mathematics,131 is a prime number.
Mathematics,137 is a prime number.
Mathematics,139 is a prime number.
Mathematics,149 is a prime number.
Mathematics,151 is a prime number.
Mathematics,157 is a prime number.
Mathematics,163 is a prime number.
Mathematics,167 is a prime number.
Mathematics,17 is a prime number.
Mathematics,173 is a prime number.
Mathematics,179 is a prime number.
Mathematics,181 is a prime number.
Mathematics,19 is a prime number.
Mathematics,191 is a prime number.
Mathematics,193 is a prime number.
Mathematics,197 is a prime number.
Mathematics,199 is a prime number.
Mathematics,2 is a prime number.
Mathematics,211 is a prime number.
Mathematics,223 is a prime number.
Mathematics,227 is a prime number.
Mathematics,229 is a prime number.
Mathematics,23 is a prime number.
Mathematics,233 is a prime number.
Mathematics,239 is a prime number.
Mathematics,241 is a prime number.
Mathematics,251 is a prime number.
Mathematics,257 is a prime number.
Mathematics,263 is a prime number.
Mathematics,269 is a prime number.
Mathematics,271 is a prime number.
Mathematics,277 is a prime number.
Mathematics,281 is a prime number.
Mathematics,283 is a prime number.
Mathematics,29 is a prime number.
Mathematics,293 is a prime number.
Mathematics,3 is a prime number.
Mathematics,307 is a prime number.
Mathematics,31 is a prime number.
Mathematics,311 is a prime number.
Mathematics,313 is a prime number.
Mathematics,317 is a prime number.
Mathematics,331 is a prime number.
Mathematics,337 is a prime number.
Mathematics,347 is a prime number.
Mathematics,349 is a prime number.
Mathematics,353 is a prime number.
Mathematics,359 is a prime number.
Mathematics,367 is a prime number.
Mathematics,37 is a prime number.
Mathematics,373 is a prime number.
Mathematics,379 is a prime number.
Mathematics,383 is a prime number.
Mathematics,389 is a prime number.
Mathematics,397 is a prime number.
Mathematics,401 is a prime number.
Mathematics,409 is a prime number.
Mathematics,41 is a prime number.
Mathematics,419 is a prime number.
Mathematics,421 is a prime number.
Mathematics,43 is a prime number.
Mathematics,431 is a prime number.
Mathematics,433 is a prime number.
Mathematics,439 is a prime number.
Mathematics,443 is a prime number.
Mathematics,449 is a prime number.
Mathematics,457 is a prime number.
Mathematics,461 is a prime number.
Mathematics,463 is a prime number.
Mathematics,467 is a prime number.
Mathematics,47 is a prime number.
Mathematics,479 is a prime number.
Mathematics,487 is a prime number.
Mathematics,491 is a prime number.
Mathematics,499 is a prime number.
Mathematics,5 is a prime number.
Mathematics,503 is a prime number.
Mathematics,509 is a prime number.
Mathematics,521 is a prime number.
Mathematics,523 is a prime number.
Mathematics,53 is a prime number.
Mathematics,541 is a prime number.
Mathematics,547 is a prime number.
Mathematics,557 is a prime number.
Mathematics,563 is a prime number.
Mathematics,569 is a prime number.
Mathematics,571 is a prime number.
Mathematics,577 is a prime number.
Mathematics,587 is a prime number.
Mathematics,59 is a prime number.
Mathematics,593 is a prime number.
Mathematics,599 is a prime number.
Mathematics,601 is a prime number.
Mathematics,607 is a prime number.
Mathematics,61 is a prime number.
Mathematics,613 is a prime number.
Mathematics,617 is a prime number.
Mathematics,619 is a prime number.
Mathematics,631 is a prime number.
Mathematics,641 is a prime number.
Mathematics,643 is a prime number.
Mathematics,647 is a prime number.
Mathematics,653 is a prime number.
Mathematics,659 is a prime number.
Mathematics,661 is a prime number.
Mathematics,67 is a prime number.
Mathematics,673 is a prime number.
Mathematics,677 is a prime number.
Mathematics,683 is a prime number.
Mathematics,691 is a prime number.
Mathematics,7 is a prime number.
Mathematics,701 is a prime number.
Mathematics,709 is a prime number.
Mathematics,71 is a prime number.
Mathematics,719 is a prime number.
Mathematics,727 is a prime number.
Mathematics,73 is a prime number.
Mathematics,733 is a prime number.
Mathematics,739 is a prime number.
Mathematics,743 is a prime number.
Mathematics,751 is a prime number.
Mathematics,757 is a prime number.
Mathematics,761 is a prime number.
Mathematics,769 is a prime number.
Mathematics,773 is a prime number.
Mathematics,787 is a prime number.
Mathematics,79 is a prime number.
Mathematics,797 is a prime number.
Mathematics,809 is a prime number.
Mathematics,811 is a prime number.
Mathematics,821 is a prime number.
Mathematics,823 is a prime number.
Mathematics,827 is a prime number.
Mathematics,829 is a prime number.
Mathematics,83 is a prime number.
Mathematics,839 is a prime number.
Mathematics,853 is a prime number.
Mathematics,857 is a prime number.
Mathematics,859 is a prime number.
Mathematics,863 is a prime number.
Mathematics,877 is a prime number.
Mathematics,881 is a prime number.
Mathematics,883 is a prime number.
Mathematics,887 is a prime number.
Mathematics,89 is a prime number.
Mathematics,907 is a prime number.
Mathematics,911 is a prime number.
Mathematics,919 is a prime number.
Mathematics,929 is a prime number.
Mathematics,937 is a prime number.
Mathematics,941 is a prime number.
Mathematics,947 is a prime number.
Mathematics,953 is a prime number.
Mathematics,967 is a prime number.
Mathematics,97 is a prime number.
Mathematics,971 is a prime number.
Mathematics,977 is a prime number.
Mathematics,983 is a prime number.
Mathematics,991 is a prime number.
Mathematics,997 is a prime number.
Mathematics,A fractal shows self-similar patterns at different scales.
Mathematics,A polygon is a shape made of straight line segments.
Mathematics,A prime number has exactly two positive divisors.
